group	k	best_d_recorded	distance_trials	code_id	n
C11	2	25	600000	C11_AAp11_0_0_0_1_1_3_BBp16_0_1_3_3_5_6_k2_d25	396
C11	4	27	600000	C11_AAp6_0_0_0_2_8_10_BBp8_0_1_1_5_5_8_k4_d27	396
C11	6	20	600000	C11_AAp11_0_0_0_1_1_9_BBp0_0_4_5_6_9_10_k6_d20	396
C11	8	24	600000	C11_AAp6_0_0_0_1_3_4_BBp6_0_3_5_8_8_10_k8_d24	396
C11	12	18	600000	C11_AAp6_0_0_0_1_4_5_BBp0_0_3_5_6_8_9_k12_d18	396
C12	2	37	400000	C12_AAp11_0_1_3_6_7_11_BBp27_0_2_4_5_5_8_k2_d37	432
C12	4	36	400000	C12_AAp14_0_2_5_5_6_8_BBp10_0_2_3_5_6_11_k4_d36	432
C12	6	30	400000	C12_AAp27_0_1_4_7_8_10_BBp11_0_0_1_2_5_7_k6_d30	432
C12	8	32	400000	C12_AAp17_0_1_2_4_5_10_BBp27_0_2_6_9_9_10_k8_d32	432
C12	10	31	400000	C12_AAp11_0_2_3_4_8_9_BBp11_0_1_1_2_4_10_k10_d31	432
C12	12	29	400000	C12_AAp6_0_1_2_5_7_9_BBp17_0_2_7_8_10_11_k12_d29	432
C12	14	27	400000	C12_AAp11_0_2_3_7_9_11_BBp11_0_2_8_10_11_11_k14_d27	432
C12	16	23	400000	C12_AAp6_0_2_4_7_8_9_BBp11_0_0_1_3_9_11_k16_d23	432
C15	2	44	200000	C15_AAp11_0_1_8_9_11_13_BBp8_0_1_2_10_10_12_k2_d44	540
C15	4	37	200000	C15_AAp10_0_0_1_12_13_13_BBp11_0_2_4_6_7_14_k4_d37	540
C15	6	32	200000	C15_AAp11_0_1_8_9_11_13_BBp11_0_0_1_11_11_13_k6_d32	540
C15	8	42	200000	C15_AAp16_0_1_3_4_8_14_BBp10_0_0_1_1_3_10_k8_d42	540
C2	2	8	400	C2_AAp11_0_0_0_0_0_1_BBp12_0_0_0_1_1_1_k2_d8	72
C2xC2	2	14	400	C2xC2_AAp12_0_0_0_1_2_2_BBp12_0_0_1_2_2_3_k2_d14	144
C2xC2	4	12	40000	C2xC2_AAp12_0_0_0_1_2_2_BBp6_0_0_0_1_2_3_k4_d12	144
C2xC2	6	12	200000	C2xC2_AAp12_0_0_0_1_2_2_BBp6_0_0_1_1_2_3_k6_d12	144
C2xC2	8	12	200000	C2xC2_AAp6_0_0_0_1_2_3_BBp6_0_0_1_1_2_3_k8_d12	144
C2xC2	10	10	8000	C2xC2_AAp6_0_0_1_1_2_3_BBp6_0_0_1_2_2_3_k10_d10	144
C2xC2	12	6	8000	C2xC2_AAp6_0_0_0_1_2_3_BBp6_0_0_0_1_2_3_k12_d6	144
C2xC2	13	3	400	C2xC2_AAp0_0_0_0_1_1_2_BBp15_0_0_1_2_3_3_k13_d3	144
C2xC2	14	6	400	C2xC2_AAp0_0_0_1_1_1_2_BBp6_0_0_1_1_2_3_k14_d6	144
C2xC2	16	6	400	C2xC2_AAp0_0_0_1_1_2_2_BBp6_0_0_0_1_2_3_k16_d6	144
C2xC2	18	6	400	C2xC2_AAp13_0_1_1_1_2_3_BBp13_0_1_1_1_2_3_k18_d6	144
C2xC2	20	4	400	C2xC2_AAp13_0_0_1_1_1_2_BBp13_0_1_1_1_1_2_k20_d4	144
C2xC2	21	3	400	C2xC2_AAp0_0_0_0_1_1_2_BBp13_0_0_2_2_2_3_k21_d3	144
C2xC2	22	4	400	C2xC2_AAp0_0_0_1_1_1_2_BBp13_0_0_1_1_1_2_k22_d4	144
C2xC2	23	3	400	C2xC2_AAp0_0_0_0_1_1_2_BBp13_0_0_1_1_1_2_k23_d3	144
C2xC2	24	4	400	C2xC2_AAp0_0_0_1_1_1_2_BBp13_0_1_1_1_1_2_k24_d4	144
C2xC2	26	4	400	C2xC2_AAp13_0_1_1_1_1_2_BBp13_0_1_1_1_1_2_k26_d4	144
C2xC2	27	3	400	C2xC2_AAp0_0_0_0_1_1_2_BBp13_0_1_1_1_1_2_k27_d3	144
C2xC2	28	4	400	C2xC2_AAp0_0_0_1_1_1_2_BBp0_0_0_1_1_1_2_k28_d4	144
C2xC2	30	4	400	C2xC2_AAp0_0_0_1_1_1_2_BBp0_0_1_1_1_1_2_k30_d4	144
C2xC2	32	4	400	C2xC2_AAp0_0_1_1_1_1_2_BBp6_0_0_0_0_0_0_k32_d4	144
C2xC2	34	4	400	C2xC2_AAp0_0_1_1_1_1_2_BBp0_0_1_1_1_1_3_k34_d4	144
C2xC2	36	4	400	C2xC2_AAp0_0_1_1_1_1_2_BBp0_0_1_1_1_1_2_k36_d4	144
C2xC2	38	3	400	C2xC2_AAp0_0_0_0_0_0_1_BBp0_0_0_0_1_1_2_k38_d3	144
C2xC2	40	3	400	C2xC2_AAp0_0_0_0_0_0_2_BBp0_0_1_1_1_1_2_k40_d3	144
C2xC2	42	3	400	C2xC2_AAp0_0_0_0_0_0_0_BBp13_0_1_1_1_1_2_k42_d3	144
C2xC2	44	3	400	C2xC2_AAp0_0_0_0_0_0_1_BBp0_0_0_0_0_1_1_k44_d3	144
C2xC2	48	3	400	C2xC2_AAp0_0_0_0_0_0_0_BBp0_0_1_1_1_1_2_k48_d3	144
C2xC2	50	3	400	C2xC2_AAp0_0_0_0_0_0_1_BBp0_0_0_0_0_0_2_k50_d3	144
C2xC2	52	3	400	C2xC2_AAp0_0_0_0_0_0_1_BBp0_0_0_0_0_0_1_k52_d3	144
C2xC2	60	3	400	C2xC2_AAp0_0_0_0_0_0_0_BBp0_0_0_0_0_0_1_k60_d3	144
C2xC2	72	3	400	C2xC2_AAp0_0_0_0_0_0_0_BBp0_0_0_0_0_0_0_k72_d3	144
C2xC2xC2	4	20	50000	C2xC2xC2_AAp11_0_0_1_2_2_7_BBp11_0_0_1_2_4_5_k4_d20	288
C2xC2xC2	8	20	50000	C2xC2xC2_AAp11_0_0_1_2_2_6_BBp6_0_1_2_4_5_7_k8_d20	288
C2xC2xC2	12	18	50000	C2xC2xC2_AAp15_0_1_2_3_4_7_BBp6_0_1_2_3_4_7_k12_d18	288
C2xC2xC2	14	12	100000	C2xC2xC2_AAp11_0_0_2_4_5_6_BBp11_0_0_2_5_6_7_k14_d12	288
C2xC2xC2	16	16	20000	C2xC2xC2_AAp6_0_1_2_3_4_6_BBp6_0_1_2_4_5_7_k16_d16	288
C2xC2xC2	18	15	100000	C2xC2xC2_AAp6_0_0_0_1_4_6_BBp6_0_1_2_3_5_6_k18_d15	288
C2xC2xC2	20	12	100000	C2xC2xC2_AAp0_0_1_2_2_4_5_BBp11_0_0_2_4_5_6_k20_d12	288
C2xC2xC2	24	12	100000	C2xC2xC2_AAp0_0_1_2_3_4_6_BBp6_0_1_2_3_4_6_k24_d12	288
C2xC2xC2	36	8	100000	C2xC2xC2_AAp0_0_1_2_3_4_6_BBp0_0_1_2_3_4_7_k36_d8	288
C2xC2xC2xC2	8	50	50000	C2xC2xC2xC2_AAp11_0_1_2_4_10_11_BBp11_0_1_11_12_13_14_k8_d50	576
C2xC2xC2xC2	12	27	50000	C2xC2xC2xC2_AAp6_0_3_4_5_6_9_BBp11_0_1_2_10_13_14_k12_d27	576
C2xC2xC2xC2	16	34	50000	C2xC2xC2xC2_AAp11_0_1_11_12_13_15_BBp11_0_1_2_4_11_14_k16_d34	576
C2xC6	2	35	200000	C2xC6_AAp11_0_2_4_5_6_7_BBp11_0_0_3_5_5_11_k2_d35	432
C2xC6	4	38	200000	C2xC6_AAp11_0_2_4_5_6_7_BBp14_0_1_3_4_6_11_k4_d38	432
C2xC6	6	28	200000	C2xC6_AAp15_0_0_1_7_10_10_BBp28_0_1_2_3_7_11_k6_d28	432
C2xC6	8	35	200000	C2xC6_AAp15_0_4_5_6_10_11_BBp21_0_4_6_7_9_10_k8_d35	432
C2xC6	10	24	200000	C2xC6_AAp11_0_0_1_1_3_10_BBp11_0_0_1_1_6_7_k10_d24	432
C2xC6	12	29	200000	C2xC6_AAp14_0_2_3_5_9_10_BBp21_0_4_6_7_9_10_k12_d29	432
C2xC6	14	21	200000	C2xC6_AAp23_0_4_6_7_8_11_BBp15_0_3_7_7_8_8_k14_d21	432
C2xC6	16	27	200000	C2xC6_AAp14_0_2_3_5_6_7_BBp21_0_2_3_5_6_8_k16_d27	432
C2xC6	18	19	200000	C2xC6_AAp15_0_0_1_7_8_8_BBp15_0_1_6_7_9_10_k18_d19	432
C2xC6	20	16	200000	C2xC6_AAp2_0_7_8_8_9_11_BBp16_0_1_5_8_9_10_k20_d16	432
C6	2	19	20000	C6_AAp8_0_1_2_2_4_4_BBp11_0_1_2_3_3_4_k2_d19	216
C6	4	18	20000	C6_AAp10_0_1_3_3_4_5_BBp8_0_0_1_2_4_5_k4_d18	216
C6	6	16	100000	C6_AAp11_0_0_2_2_3_5_BBp11_0_0_2_3_3_4_k6_d16	216
C6	8	16	100000	C6_AAp10_0_1_3_3_4_5_BBp11_0_0_1_3_3_5_k8_d16	216
C6	10	16	100000	C6_AAp27_0_0_1_1_2_3_BBp11_0_0_2_3_3_4_k10_d16	216
C7	2	21	600000	C7_AAp11_0_0_1_3_4_6_BBp8_0_2_3_5_5_6_k2_d21	252
C7	4	20	600000	C7_AAp6_0_0_0_1_2_3_BBp8_0_2_3_5_5_6_k4_d20	252
C7	6	20	600000	C7_AAp24_0_0_2_3_6_6_BBp10_0_2_2_3_4_6_k6_d20	252
C7	8	18	600000	C7_AAp6_0_0_0_1_2_3_BBp6_0_2_3_5_5_6_k8_d18	252
