code_id	group	n	k	d_recorded	distance_trials	distance_method	A_id	B_id	run_dir	src_dir	collected_dir
C11_AAp11_0_0_0_1_1_3_BBp16_0_1_3_3_5_6_k2_d25	C11	396	2	25	600000	dist-m4ri	p11_0_0_0_1_1_3	p16_0_1_3_3_5_6	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_1_1_3_BBp16_0_1_3_3_5_6_k2_d25	best_codes/collected/C11_AAp11_0_0_0_1_1_3_BBp16_0_1_3_3_5_6_k2_d25
C11_AAp11_0_0_0_1_1_7_BBp27_0_1_1_5_5_8_k2_d23	C11	396	2	23	600000	dist-m4ri	p11_0_0_0_1_1_7	p27_0_1_1_5_5_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_1_1_7_BBp27_0_1_1_5_5_8_k2_d23	best_codes/collected/C11_AAp11_0_0_0_1_1_7_BBp27_0_1_1_5_5_8_k2_d23
C11_AAp11_0_0_0_1_1_3_BBp27_0_1_1_5_5_8_k2_d20	C11	396	2	20	600000	dist-m4ri	p11_0_0_0_1_1_3	p27_0_1_1_5_5_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_1_1_3_BBp27_0_1_1_5_5_8_k2_d20	best_codes/collected/C11_AAp11_0_0_0_1_1_3_BBp27_0_1_1_5_5_8_k2_d20
C11_AAp11_0_0_0_0_0_4_BBp16_0_1_2_2_3_4_k2_d19	C11	396	2	19	600000	dist-m4ri	p11_0_0_0_0_0_4	p16_0_1_2_2_3_4	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_0_0_4_BBp16_0_1_2_2_3_4_k2_d19	best_codes/collected/C11_AAp11_0_0_0_0_0_4_BBp16_0_1_2_2_3_4_k2_d19
C11_AAp11_0_0_0_0_0_3_BBp27_0_1_1_5_5_8_k2_d18	C11	396	2	18	600000	dist-m4ri	p11_0_0_0_0_0_3	p27_0_1_1_5_5_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_0_0_3_BBp27_0_1_1_5_5_8_k2_d18	best_codes/collected/C11_AAp11_0_0_0_0_0_3_BBp27_0_1_1_5_5_8_k2_d18
C11_AAp11_0_0_0_0_0_10_BBp27_0_0_1_4_7_7_k2_d16	C11	396	2	16	600000	dist-m4ri	p11_0_0_0_0_0_10	p27_0_0_1_4_7_7	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_0_0_10_BBp27_0_0_1_4_7_7_k2_d16	best_codes/collected/C11_AAp11_0_0_0_0_0_10_BBp27_0_0_1_4_7_7_k2_d16
C11_AAp11_0_0_0_0_0_1_BBp27_0_0_1_4_7_7_k2_d14	C11	396	2	14	600000	dist-m4ri	p11_0_0_0_0_0_1	p27_0_0_1_4_7_7	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_0_0_1_BBp27_0_0_1_4_7_7_k2_d14	best_codes/collected/C11_AAp11_0_0_0_0_0_1_BBp27_0_0_1_4_7_7_k2_d14
C11_AAp6_0_0_0_2_8_10_BBp8_0_1_1_5_5_8_k4_d27	C11	396	4	27	600000	dist-m4ri	p6_0_0_0_2_8_10	p8_0_1_1_5_5_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_2_8_10_BBp8_0_1_1_5_5_8_k4_d27	best_codes/collected/C11_AAp6_0_0_0_2_8_10_BBp8_0_1_1_5_5_8_k4_d27
C11_AAp6_0_0_0_1_7_8_BBp27_0_2_2_4_4_7_k4_d26	C11	396	4	26	600000	dist-m4ri	p6_0_0_0_1_7_8	p27_0_2_2_4_4_7	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_7_8_BBp27_0_2_2_4_4_7_k4_d26	best_codes/collected/C11_AAp6_0_0_0_1_7_8_BBp27_0_2_2_4_4_7_k4_d26
C11_AAp6_0_0_0_1_2_3_BBp8_0_1_1_5_5_8_k4_d25	C11	396	4	25	600000	dist-m4ri	p6_0_0_0_1_2_3	p8_0_1_1_5_5_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_2_3_BBp8_0_1_1_5_5_8_k4_d25	best_codes/collected/C11_AAp6_0_0_0_1_2_3_BBp8_0_1_1_5_5_8_k4_d25
C11_AAp6_0_0_0_1_2_10_BBp8_0_1_1_5_5_8_k4_d23	C11	396	4	23	600000	dist-m4ri	p6_0_0_0_1_2_10	p8_0_1_1_5_5_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_2_10_BBp8_0_1_1_5_5_8_k4_d23	best_codes/collected/C11_AAp6_0_0_0_1_2_10_BBp8_0_1_1_5_5_8_k4_d23
C11_AAp6_0_0_0_1_2_10_BBp27_0_4_4_9_9_10_k4_d22	C11	396	4	22	600000	dist-m4ri	p6_0_0_0_1_2_10	p27_0_4_4_9_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_2_10_BBp27_0_4_4_9_9_10_k4_d22	best_codes/collected/C11_AAp6_0_0_0_1_2_10_BBp27_0_4_4_9_9_10_k4_d22
C11_AAp6_0_0_0_1_1_1_BBp27_0_4_4_9_9_10_k4_d20	C11	396	4	20	600000	dist-m4ri	p6_0_0_0_1_1_1	p27_0_4_4_9_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_1_1_BBp27_0_4_4_9_9_10_k4_d20	best_codes/collected/C11_AAp6_0_0_0_1_1_1_BBp27_0_4_4_9_9_10_k4_d20
C11_AAp6_0_0_0_0_2_2_BBp16_0_1_5_5_9_10_k4_d19	C11	396	4	19	600000	dist-m4ri	p6_0_0_0_0_2_2	p16_0_1_5_5_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_2_2_BBp16_0_1_5_5_9_10_k4_d19	best_codes/collected/C11_AAp6_0_0_0_0_2_2_BBp16_0_1_5_5_9_10_k4_d19
C11_AAp6_0_0_0_0_1_1_BBp27_0_4_4_9_9_10_k4_d18	C11	396	4	18	600000	dist-m4ri	p6_0_0_0_0_1_1	p27_0_4_4_9_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_1_1_BBp27_0_4_4_9_9_10_k4_d18	best_codes/collected/C11_AAp6_0_0_0_0_1_1_BBp27_0_4_4_9_9_10_k4_d18
C11_AAp6_0_0_0_0_1_1_BBp8_0_0_1_4_7_7_k4_d16	C11	396	4	16	600000	dist-m4ri	p6_0_0_0_0_1_1	p8_0_0_1_4_7_7	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_1_1_BBp8_0_0_1_4_7_7_k4_d16	best_codes/collected/C11_AAp6_0_0_0_0_1_1_BBp8_0_0_1_4_7_7_k4_d16
