group	n	k	d_ub	m4ri_trials	code_id
C3xC3	36	2	6	20000	C3xC3_n36_k2_d6_A0_1_B0_3_1e9848b0
C10	40	2	6	20000	C10_n40_k2_d6_A0_1_B0_3_e9d97098
C11	44	2	6	20000	C11_n44_k2_d6_A0_1_B0_3_481a2b89
C12	48	2	6	20000	C12_n48_k2_d6_A0_1_B0_3_9a8ba9a0
C13	52	2	6	20000	C13_n52_k2_d6_A0_1_B0_3_74819b8a
C14	56	2	6	20000	C14_n56_k2_d6_A0_1_B0_3_83998973
C15	60	2	6	20000	C15_n60_k2_d6_A0_1_B0_3_d05b0c2d
C16	64	2	8	20000	C16_n64_k2_d8_A0_1_B0_4_03b745d0
C17	68	2	8	20000	C17_n68_k2_d8_A0_1_B0_4_b7da1af9
C18	72	2	8	20000	C18_n72_k2_d8_A0_1_B0_4_c13f41af
C18	72	4	6	20000	C18_n72_k4_d6_A0_2_B0_6_efe20cbe
C19	76	2	8	20000	C19_n76_k2_d8_A0_1_B0_4_555a9ed3
C10xC2	80	2	8	20000	C10xC2_n80_k2_d8_A0_2_B0_5_70fa66c6
C10xC2	80	4	6	20000	C10xC2_n80_k4_d6_A0_2_B0_6_268168c9
C21	84	2	8	20000	C21_n84_k2_d8_A0_1_B0_4_d61fccd8
C22	88	2	8	20000	C22_n88_k2_d8_A0_1_B0_4_424e2f1d
C22	88	4	6	20000	C22_n88_k4_d6_A0_2_B0_6_6e27ba8b
C23	92	2	8	20000	C23_n92_k2_d8_A0_1_B0_4_7d13a8bd
C12xC2	96	2	8	20000	C12xC2_n96_k2_d8_A0_2_B0_5_d09bab2a
C12xC2	96	4	6	20000	C12xC2_n96_k4_d6_A0_2_B0_6_db469d26
